figure,panel,sheet,item,value
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,description,Structural BAG Country LOCO held-out-fold LOCO R2 for the top-20 candidates in the synergy arm and redundancy arm at model level OLS; horizontal display.
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,n_rows_plotted,44
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,notes,Top-20 sets are selected within each model level by that level's global LOCO R². Values and panel layout match the canonical figure; only the within-panel axes are rotated.
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: fold,held-out country (country_loco) or subregion (region_loro)
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: series,top20_syn = top 20 in the minimum-O-information (synergy) arm; top20_red = top 20 in the maximum-O-information (redundancy) arm
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: median_r2,median held-out R² across the 20 candidates in that series
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: min_r2,minimum held-out R² across those candidates (left errorbar)
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: max_r2,maximum held-out R² across those candidates (right errorbar)
country_region_sensitivity_rotated,a1_struct_loco_ols,a1_struct_loco_ols,column: baseline_r2,covariate-only baseline R² for that fold (vertical dash)
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,description,Structural BAG Country LOCO held-out-fold LOCO R2 for the top-20 candidates in the synergy arm and redundancy arm at model level d1; horizontal display.
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,n_rows_plotted,44
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,notes,Top-20 sets are selected within each model level by that level's global LOCO R². Values and panel layout match the canonical figure; only the within-panel axes are rotated.
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: fold,held-out country (country_loco) or subregion (region_loro)
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: series,top20_syn = top 20 in the minimum-O-information (synergy) arm; top20_red = top 20 in the maximum-O-information (redundancy) arm
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: median_r2,median held-out R² across the 20 candidates in that series
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: min_r2,minimum held-out R² across those candidates (left errorbar)
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: max_r2,maximum held-out R² across those candidates (right errorbar)
country_region_sensitivity_rotated,a2_struct_loco_d1,a2_struct_loco_d1,column: baseline_r2,covariate-only baseline R² for that fold (vertical dash)
